
2025-07-21 19:55:51,837 - ERROR - Podcast: Error procesando episodio #411: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:51,959 - ERROR - Podcast: Error procesando episodio #410: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:52,078 - ERROR - Podcast: Error procesando episodio #409: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:52,191 - ERROR - Podcast: Error procesando episodio #408: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:52,311 - ERROR - Podcast: Error procesando episodio #407: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:52,437 - ERROR - Podcast: Error procesando episodio #406: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:52,564 - ERROR - Podcast: Error procesando episodio #405: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:52,688 - ERROR - Podcast: Error procesando episodio #404: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:52,823 - ERROR - Podcast: Error procesando episodio #403: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:52,950 - ERROR - Podcast: Error procesando episodio #402: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:53,073 - ERROR - Podcast: Error procesando episodio #401: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:53,195 - ERROR - Podcast: Error procesando episodio #400: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:53,314 - ERROR - Podcast: Error procesando episodio #399: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:53,435 - ERROR - Podcast: Error procesando episodio #398: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
